ID	CA	ES	FR	EN	CAS	ACCIO_1	ACCIO_2	ACCIO_3
1023	dioxetedrina	dioxetedrina	dioxéthédrine	dioxethedrin	497-75-6	simpaticomimètic		
1024	dioxibenzona	dioxibenzona	dioxybenzone	dioxybenzone	131-53-3	protector solar		
1025	diperodó	diperodón	dipérodon	diperodon	101-08-6	anestèsic local		
1026	dipipanona	dipipanona	dipipanone	dipipanone	467-83-4	analgèsic opiaci		
1027	dipiridamole	dipiridamol	dipyridamole	dipyridamole	58-32-2	vasodilatador coronari		
1028	dipiritiona	dipiritiona	dipyrithione	dipyrithione	3696-28-4	antifúngic	antisèptic	
1029	dipivefrina	dipivefrina	dipivéfrine	dipivefrine	52365-63-6	midriàtic		
1030	diprofil·lina	diprofilina	diprophylline	diprophylline	479-18-5	antiasmàtic	diürètic	
1031	diproqualona	diprocualona	diproqualone	diproqualone	36518-02-2	analgèsic		
1032	diritromicina	diritromicina	dirithromycine	dirithromycin	62013-04-1	antibiòtic macròlid		
1033	disopiramida	disopiramida	disopyramide	disopyramide	3737-09-5	antiarrítmic		
1034	disulfiram	disulfiram	disulfirame	disulfiram	97-77-8	deshabituador de l'alcohol		
1035	ditazole	ditazol	ditazole	ditazole	18471-20-0	anticoagulant	antiinflamatori	inhibidor de l'agregació plaquetària
1036	ditiocarb sòdic	ditiocarbo de sodio	ditiocarbe sodique	ditiocarb sodium	148-18-5	antivíric		
1037	dixantogen	dixantogeno	dixanthogène	dixanthogen	502-55-6	ectoparasiticida	insecticida	
1038	dizocilpina	dizocilpina	dizocilpine	dizocilpine	77086-21-6	antagonista dels neurotransmissors excitadors	antiepilèptic	
1039	dobesilat de calci	dobesilato de calcio	dobésilate de calcium	calcium dobesilate	20123-80-2	vasoprotector		
1040	dobutamina	dobutamina	dobutamine	dobutamine	34368-04-2	cardiotònic		
1041	docarpamina	docarpamina	docarpamine	docarpamine	74639-40-0	emprat en la prevenció de la insuficiència cardíaca		
1042	docetaxel	docetaxel	docétaxel	docetaxel	114977-28-5	antineoplàstic		
1043	docusat sòdic	docusato de sodio	docusate sodique	docusate sodium	577-11-7	detergent	laxant	
1044	dofetilida	dofetilida	dofétilide	dofetilide	115256-11-6	antiarrítmic		
1045	dolasetró	dolasetrón	dolasétron	dolasetron	115956-12-2	antiemètic		
1046	dolutegravir	dolutegravir	dolutégravir	dolutegravir	1051375-16-6	antivíric		
1047	domiodol	domiodol	domiodol	domiodol	61869-07-6	mucolític		
1048	domperidona	domperidona	dompéridone	domperidone	57808-66-9	antiemètic		
1049	donepezil	donepezilo	donépézil	donepezil	120014-06-4	inhibidor de la colinesterasa		
1050	dopamina	dopamina	dopamine	dopamine	51-61-6	antihipotensor	cardiotònic	
1051	dopexamina	dopexamina	dopéxamine	dopexamine	86197-47-9	agent cardiovascular	simpaticomimètic	
1052	doravirina	doravirina	doravirine	doravirine	1338225-97-0	antiretroviral		
1053	doripenem	doripenem	doripénem	doripenem	148016-81-3	antibiòtic carbapenèmic		
1054	dornasa alfa	dornasa alfa	dornase alfa	dornase alfa	143831-71-4	mucolític		
1055	dorzolamida	dorzolamida	dorzolamide	dorzolamide	120279-96-1	diürètic		
1056	dosmalfat	dosmalfato	dosmalfate	dosmalfate	122312-55-4	antiúlcera pèptica		
1057	dosulepina	dosulepina	dosulépine	dosulepin	113-53-1	antidepressiu tricíclic		
1058	dovitinib	dovitinib	dovitinib	dovitinib	405169-16-6	antineoplàstic		
1059	doxapram	doxapram	doxapram	doxapram	309-29-5	analèptic		
1060	doxazosina	doxazosina	doxazosine	doxazosin	74191-85-8	antihipertensor		
1061	doxepina	doxepina	doxépine	doxepin	1668-19-5	antidepressiu tricíclic		
1062	doxercalciferol	doxercalciferol	doxercalciférol	doxercalciferol	54573-75-0	anàleg de la vitamina D		
1063	doxiciclina	doxiciclina	doxycycline	doxycycline	564-25-0	antibiòtic tetraciclínic		
1064	doxifluridina	doxifluridina	doxifluridine	doxifluridine	3094-09-5	antineoplàstic		
1065	doxilamina	doxilamina	doxylamine	doxylamine	469-21-6	antial·lèrgic	antihistamínic H1	
1066	doxofil·lina	doxofilina	doxofylline	doxofylline	69975-86-6	broncodilatador		
1067	doxorubicina	doxorubicina	doxorubicine	doxorubicin	23214-92-8	antibiòtic antraciclínic	antineoplàstic	
1068	drisapersèn	drisapersén	drisapersen	drisapersen	1251830-50-8	emprat en el tractament de la distròfia muscular de Duchenne		
1069	drofenina	drofenina	drofénine	drofenine	1679-76-1	antiespasmòdic		
1070	droloxifè	droloxifeno	droloxifène	droloxifene	82413-20-5	antineoplàstic		
1071	dronabinol	dronabinol	dronabinol	dronabinol	1972-08-3	al·lucinogen	antiemètic	
1072	dronedarona	dronedarona	dronedarone	dronedarone	141626-36-0	antiarrítmic		
1073	droperidol	droperidol	dropéridol	droperidol	548-73-2	neurolèptic		
1074	dropropizina	dropropizina	dropropizine	dropropizine	17692-31-8	antitussigen		
1075	drospirenona	drospirenona	drospirénone	drospirenone	67392-87-4	progestagen		
1076	drotaverina	drotaverina	drotavérine	drotaverine	14009-24-6	antiespasmòdic		
1077	drotrecogina alfa	drotrecogina alfa	drotrécogine alfa	drotrecogin alfa	98530-76-8	anticoagulant		
1078	droxicam	droxicam	droxicam	droxicam	90101-16-9	analgèsic	antiinflamatori	
1079	droxidopa	droxidopa	droxidopa	droxidopa	23651-95-8	antiparkinsonià		
1080	dulaglutida	dulaglutida	dulaglutide	dulaglutide	923950-08-7	hipoglucemiant		
1081	duloxetina	duloxetina	duloxétine	duloxetine	116539-59-4	antidepressiu		
1082	dupilumab	dupilumab	dupilumab	dupilumab	1190264-60-8	immunomodulador		
1083	durvalumab	durvalumab	durvalumab	durvalumab	1428935-60-7	antineoplàstic	immunomodulador	
1084	dutasterida	dutasterida	dutastéride	dutasteride	164656-23-9	emprat en el tractament de l'adenoma prostàtic		
1085	duteplasa	duteplasa	dutéplase	duteplase	120608-46-0	trombolític		
1086	ebastina	ebastina	ébastine	ebastine	90729-43-4	antihistamínic H1		
1087	eberconazole	eberconazol	éberconazole	eberconazole	128326-82-9	antifúngic		
1088	ebrotidina	ebrotidina	ébrotidine	ebrotidine	100981-43-9	antihistamínic H2	antiúlcera pèptica	
1089	ebselèn	ebseleno	ebsélène	ebselen	60940-34-3	neuroprotector		
1090	ecabet	ecabet	écabet	ecabet	33159-27-2	antiúlcera pèptica	citoprotector	
1091	ecal·lantida	ecalantida	écallantide	ecallantide	460738-38-9	inhibidor de la cal·licreïna		
1092	ecamsul	ecamsul	écamsule	ecamsule	92761-26-7	protector solar		
1093	econazole	econazol	éconazole	econazole	27220-47-9	antifúngic		
1094	eculizumab	eculizumab	éculizumab	eculizumab	219685-50-4	immunomodulador		
1095	edaravona	edaravona	édaravone	edaravone	89-25-8	antioxidant		
1096	edatrexat	edatrexato	édatrexate	edatrexate	80576-83-6	antineoplàstic		
1097	edetat de dicobalt	edetato dicobaltio	édétate dicobaltique	dicobalt edetate	36499-65-7	quelant		
1098	edetat de sodi i calci	edetato de calcio y sodio	calcium édétate de sodium	sodium calcium edetate	62-33-9	antídot en la intoxicació per metalls		
1099	edodekina alfa	edodekina alfa	édodékine alfa	edodekin alfa	187348-17-0	antineoplàstic		
1100	edoxaban	edoxabán	édoxaban	edoxaban	480449-70-5	antitrombòtic		
1101	edoxudina	edoxudina	édoxudine	edoxudine	15176-29-1	antivíric		
1102	edrecolomab	edrecolomab	édrécolomab	edrecolomab	156586-89-9	immunomodulador		
1103	efalizumab	efalizumab	éfalizumab	efalizumab	214745-43-4	immunomodulador		
1104	efavirenz	efavirenz	éfavirenz	efavirenz	154598-52-4	anti-VIH		
1105	eflornitina	eflornitina	éflornithine	eflornithine	67037-37-0	antimetabòlic	antineoplàstic	antiprotozoari
1106	efmoroctocog alfa	efmoroctocog alfa	efmoroctocog alfa	efmoroctocog alfa	1270012-79-7	factor de la coagulació sanguínia		
1107	efonidipina	efonidipino	éfonidipine	efonidipine	111011-63-3	antihipertensor		
1108	efungumab	efungumab	éfungumab	efungumab	762260-74-2	immunomodulador		
1109	elagolix	elagolix	élagolix	elagolix	834153-87-6	antagonista de la gonadorelina		
1110	elbasvir	elbasvir	elbasvir	elbasvir	1370468-36-2	antivíric		
1111	elcatonina	elcatonina	elcatonine	elcatonin	60731-46-6	hipocalcemiant	inhibidor de la resorció òssia	
1112	eledoïsina	eledoisina	élédoïsine	eledoisin	69-25-0	vasodilatador perifèric		
1113	eletriptan	eletriptán	élétriptan	eletriptan	143322-58-1	antimigranyós		
1114	eliglustat	eliglustat	éliglustat	eliglustat	491833-29-5	inhibidor de la glucosilceramidasintasa		
1115	elobixibat	elobixibat	élobixibat	elobixibat	439087-18-0	accelerador del trànsit intestinal	inhibidor del transport ilíac d'àcids biliars	
1116	elotuzumab	elotuzumab	elotuzumab	elotuzumab	915296-00-3	anticòs monoclonal humanitzat		
1117	elsilimomab	elsilimomab	elsilimomab	elsilimomab	468715-71-1	immunomodulador		
1118	eltrombopag	eltrombopag	eltrombopag	eltrombopag	496775-61-2	agonista del receptor de la trombopoetina		
1119	eluxadolina	eluxadolina	éluxadoline	eluxadoline	864821-90-9	antidiarreic		
1120	elvitegravir	elvitegravir	elvitégravir	elvitegravir	697761-98-1	antivíric		
1121	embramina	embramina	embramine	embramine	3565-72-8	antial·lèrgic	antihistamínic H1	
1122	emedastina	emedastina	émédastine	emedastine	87233-61-2	antihistamínic		
1123	emibetuzumab	emibetuzumab	émibétuzumab	emibetuzumab	1365287-9	antineoplàstic	immunomodulador	
1124	emicizumab	emicizumab	émicizumab	emicizumab	1610943-06-0	immunomodulador		
1125	emixustat	emixustat	émixustat	emixustat	1141777-14-1	modulador del cicle visual		
1126	empagliflozina	empagliflozina	empagliflozine	empagliflozin	864070-44-0	hipoglucemiant		
1127	emtricitabina	emtricitabina	emtricitabine	emtricitabine	143491-57-0	antivíric		
1128	enalapril	enalapril	énalapril	enalapril	75847-73-3	antihipertensor		
1129	enasidenib	enasidenib	énasidénib	enasidenib	1446502-11-9	antineoplàstic		
1130	encaïnida	encainida	encaïnide	encainide	66778-36-7	antiarrítmic		
1131	endralazina	endralazina	endralazine	endralazine	39715-02-1	antihipertensor		
1132	enflurà	enflurano	enflurane	enflurane	13838-16-9	anestèsic inhalatori		
1133	enfuvirtida	enfuvirtida	enfuvirtide	enfuvirtide	159519-65-0	anti-VIH		
1134	enilconazole	enilconazol	énilconazole	enilconazole	35554-44-0	fungicida d'ús tòpic		
1135	eniluracil	eniluracilo	eniluracil	eniluracil	59989-18-3	antineoplàstic		
1136	enocitabina	enocitabina	énocitabine	enocitabine	55726-47-1	antineoplàstic		
1137	enoxacina	enoxacino	énoxacine	enoxacin	74011-58-8	antibiòtic fluoroquinolònic		
1138	enoxaparina sòdica	enoxaparina de sodio	énoxaparine sodique	enoxaparin sodium	9041-08-1	anticoagulant		
1139	enoximona	enoximona	énoximone	enoximone	77671-31-9	cardiotònic	vasodilatador perifèric	
1140	enoxolona	enoxolona	énoxolone	enoxolone	471-53-4	antiinflamatori		
1141	enrofloxacina	enrofloxacino	enrofloxacine	enrofloxacin	93106-60-6	antibiòtic quinolònic		
1142	ensulizole	ensulizol	ensulizole	ensulizole	27503-81-7	protector solar		
1143	entacapona	entacapona	entacapone	entacapone	130929-57-6	dopaminèrgic		
1144	entecavir	entecavir	entécavir	entecavir	142217-69-4	antivíric		
1145	entsufó	entsufón	entsufon	entsufon	55837-16-6	detergent		
1146	enzacamè	enzacameno	enzacamène	enzacamene	36861-47-9	protector solar		
1147	enzalutamida	enzalutamida	enzalutamide	enzalutamide	915087-33-1	antiandrogen		
1148	epalrestat	epalrestat	épalrestat	epalrestat	82159-09-9	antidiabètic		
1149	eperisona	eperisona	épérisone	eperisone	64840-90-0	relaxant muscular d'acció central		
1150	epinastina	epinastina	épinastine	epinastine	80012-43-7	antihistamínic		
1151	epinefrina	epinefrina	épinéphrine	epinephrine	51-43-3	agonista adrenèrgic	antiasmàtic	cardiotònic
1152	epirizole	epirizol	épirizole	epirizole	18694-40-1	analgèsic	antiinflamatori	
1153	epirubicina	epirubicina	épirubicine	epirubicin	56420-45-2	antibiòtic antraciclínic	antineoplàstic	
1154	epitizida	epitizida	épitizide	epitizide	1764-85-8	diürètic		
1155	eplerenona	eplerenona	éplérénone	eplerenone	107724-20-9	antihipertensor		
1156	epoetina alfa	epoetina alfa	époétine alfa	epoetin alfa	113427-24-0	antianèmic		
1157	epoetina beta	epoetina beta	époétine bêta	epoetin beta	122312-54-3	antianèmic		
1158	epoetina delta	epoetina delta	époétine delta	epoetin delta	261356-80-3	antianèmic		
1159	epoetina gamma	epoetina gamma	époétine gamma	epoetin gamma	130455-76-4	antianèmic		
1160	epoetina omega	epoetina omega	époétine oméga	epoetin omega	148363-16-0	antianèmic		
1161	epoetina theta	epoetina zeta	époétine thêta	epoetin theta	762263-14-9	antianèmic		
1162	epoprostenol	epoprostenol	époprosténol	epoprostenol	35121-78-9	anticoagulant	inhibidor de l'agregació plaquetària	
1163	epostà	epostano	épostane	epostane	80471-63-2	estimulant uterí		
1164	epratuzumab	epratuzumab	épratuzumab	epratuzumab	205923-57-5	immunomodulador		
1165	eprazinona	eprazinona	éprazinone	eprazinone	10402-90-1	expectorant	mucolític	
1166	eprosartan	eprosartán	éprosartan	eprosartan	133040-01-4	antihipertensor		
1167	eprozinol	eprozinol	éprozinol	eprozinol	32665-36-4	antiasmàtic		
1168	eptacog alfa	eptacog alfa	eptacog alfa	eptacog alfa	102786-61-8	hemostàtic		
1169	eptastigmina	eptastigmina	eptastigmine	eptastigmine	101246-68-8	inhibidor de la colinesterasa		
1170	eptifibatida	eptifibatida	eptifibatide	eptifibatide	148031-34-9	antiagregant plaquetari		
1171	eptotermina alfa	eptotermina alfa	eptotermine alfa	eptotermin alfa	129805-33-0	modulador ossi		
1172	eravaciclina	eravaciclina	éravacycline	eravacycline	1207283-85-9	antibiòtic tetraciclínic		
1173	erdosteïna	erdosteína	erdostéine	erdosteine	84611-23-4	mucolític		
1174	erenumab	erenumab	érénumab	erenumab	1582205-90-0	antimigranyós		
1175	ergocalciferol	ergocalciferol	ergocalciférol	ergocalciferol	50-14-6	emprat en la prevenció i el tractament del dèficit de vitamina D	hipercalcemiant	
1176	ergometrina	ergometrina	ergométrine	ergometrine	60-79-7	oxitòcic		
1177	eribulina	eribulina	éribuline	eribulin	253128-41-5	antineoplàstic		
1178	eritromicina	eritromicina	érythromycine	erythromycin	114-07-8	antibiòtic macròlid		
1179	erlotinib	erlotinib	erlotinib	erlotinib	183321-74-6	antineoplàstic		
1180	ertapenem	ertapenem	ertapénem	ertapenem	153832-46-3	antibiòtic carbapenèmic		
1181	escitalopram	escitalopram	escitalopram	escitalopram	128196-01-0	antidepressiu		
1182	eseridina	eseridina	éséridine	eseridine	25573-43-7	inhibidor de la colinesterasa		
1183	eslicarbazepina	eslicarbazepina	eslicarbazépine	eslicarbazepine	104746-04-5	antiepilèptic		
1184	esmolol	esmolol	esmolol	esmolol	81147-92-4	blocador d'adrenoreceptors beta		
1185	esomeprazole	esomeprazol	ésoméprazole	esomeprazole	119141-88-7	antisecretor gàstric		
1186	esparfloxacina	esparfloxacino	sparfloxacine	sparfloxacin	110871-86-8	antibiòtic quinolònic		
1187	esparteïna	esparteína	spartéine	sparteine	90-39-1	antiarrítmic		
1188	espectinomicina	espectinomicina	spectinomycine	spectinomycin	1695-77-8	antibiòtic aminoglicosídic		
1189	espiramicina	espiramicina	spiramycine	spiramycin	8025-81-8	antibiòtic macròlid		
1190	espirapril	espirapril	spirapril	spirapril	83647-97-6	antihipertensor		
1191	espironolactona	espironolactona	spironolactone	spironolactone	52-01-7	diürètic antagonista de l'aldosterona		
1192	estanozolol	estanozolol	stanozolol	stanozolol	10418-03-8	anabolitzant		
1193	estavudina	estavudina	stavudine	stavudine	3056-17-5	anti-VIH		
1194	estazolam	estazolam	estazolam	estazolam	29975-16-4	hipnòtic sedant		
1195	estearat de sorbitan	estearato de sorbitán	stéarate de sorbitan	sorbitan stearate	1338-41-6	coadjuvant farmacèutic		
1196	estefimicina	estefimicina	steffimycine	steffimycin	54526-94-2	antibacterià		
1197	estepronina	estepronina	stépronine	stepronin	72324-18-6	hepatoprotector	mucolític	
1198	estibocaptat de sodi	estibocaptato de sodio	stibocaptate de sodium	sodium stibocaptate	3064-61-7	antihelmíntic		
1199	estibogluconat de sodi	estibogluconato de sodio	stibogluconate de sodium	sodium stibogluconate	16037-91-5	leishmanicida		
1200	estiripentol	estiripentol	stiripentol	stiripentol	49763-96-4	antiepilèptic		
1201	estradiol	estradiol	estradiol	estradiol	50-28-2	estrogen		
1202	estramustina	estramustina	estramustine	estramustine	2998-57-4	antineoplàstic alquilant		
1203	estrapronicat	estrapronicato	estrapronicate	estrapronicate	4140-20-9	emprat en el tractament de l'osteoporosi		
1204	estreptocinasa	estreptoquinasa	streptokinase	streptokinase	9002-01-1	enzim pancreàtic	fibrinolític	
1205	estreptodornasa	estreptodornasa	streptodornase	streptodornase	37340-82-2	enzim pancreàtic proteolític		
1206	estreptomicina	estreptomicina	streptomycine	streptomycin	57-92-1	antibiòtic aminoglicosídic		
1207	estreptozocina	estreptozocina	streptozocine	streptozocin	18883-66-4	antineoplàstic		
1208	estrona	estrona	estrone	estrone	53-16-7	estrogen		
1209	etacridina	etacridina	éthacridine	ethacridine	442-16-0	antisèptic	desinfectant	
1210	etafedrina	etafedrina	étafédrine	etafedrine	7681-79-0	broncodilatador		
1211	etafenona	etafenona	étafénone	etafenone	90-54-0	vasodilatador coronari		
1212	etambutol	etambutol	éthambutol	ethambutol	74-55-5	antituberculós		
1213	etamifil·lina	etamifilina	étamiphylline	etamiphylline	314-35-2	antiasmàtic		
1214	etamivan	etamiván	étamivan	etamivan	304-84-7	analèptic		
1215	etamsilat	etamsilato	étamsylate	etamsylate	2624-44-4	hemostàtic		
1216	etanercept	etanercept	étanercept	etanercept	185243-69-0	immunosupressor		
1217	etanidazole	etanidazol	étanidazole	etanidazole	22668-01-5	antineoplàstic		
1218	etaverina	etaverina	éthavérine	ethaverine	486-47-5	antiespasmòdic		
1219	etclorvinol	etclorvinol	éthchlorvynol	ethchlorvynol	113-18-8	hipnòtic sedant		
1220	etelcalcetida	etelcalcetida	ételcalcétide	etelcalcetide	1262780-97-1	agonista dels receptors sensibles al calci		
1221	etenzamida	etenzamida	éthenzamide	ethenzamide	938-73-8	analgèsic	antipirètic	
1222	eteplirsèn	eteplirsén	étéplirsen	eteplirsen	1173755-55-9	emprat en el tractament de la distròfia muscular de Duchenne		
1223	etidocaïna	etidocaína	étidocaïne	etidocaine	36637-18-0	anestèsic local		
1224	etifoxina	etifoxina	étifoxine	etifoxine	21715-46-8	ansiolític		
1225	etilamfetamina	etilanfetamina	étilamfétamine	etilamfetamine	457-87-4	anorèctic		
1226	etilcel·lulosa	etilcelulosa	éthylcellulose	ethylcellulose	9004-57-3	coadjuvant farmacèutic		
1227	etilefrina	etilefrina	étiléfrine	etilefrine	709-55-7	antihipotensor	simpaticomimètic	
1228	etilestrenol	etilestrenol	éthylestrénol	ethylestrenol	965-90-2	anabolitzant		
1229	etilsulfat de mecetroni	etilsulfato de mecetronio	étilsulfate de mécétronium	mecetronium etilsulfate	3006-10-8	antisèptic		
